Opt. Const. of Gen-Osc vs. nm
Wavelength (nm)	n	k
628.000000	1.566980	0.000000	
629.000000	1.566917	0.000000	
630.000000	1.566855	0.000000	
631.000000	1.566792	0.000000	
632.000000	1.566731	0.000000	
633.000000	1.566669	0.000000	
634.000000	1.566608	0.000000	
635.000000	1.566547	0.000000	
636.000000	1.566486	0.000000	
637.000000	1.566426	0.000000	
638.000000	1.566366	0.000000	
639.000000	1.566306	0.000000	
640.000000	1.566247	0.000000	
641.000000	1.566188	0.000000	
642.000000	1.566129	0.000000	
643.000000	1.566071	0.000000	
644.000000	1.566012	0.000000	
645.000000	1.565954	0.000000	
646.000000	1.565897	0.000000	
647.000000	1.565839	0.000000	
648.000000	1.565782	0.000000	
649.000000	1.565725	0.000000	
650.000000	1.565669	0.000000	
651.000000	1.565612	0.000000	
652.000000	1.565556	0.000000	
653.000000	1.565500	0.000000	
654.000000	1.565445	0.000000	
655.000000	1.565390	0.000000	
656.000000	1.565335	0.000000	
657.000000	1.565280	0.000000	
658.000000	1.565226	0.000000	
659.000000	1.565171	0.000000	
660.000000	1.565118	0.000000	
661.000000	1.565064	0.000000	
662.000000	1.565011	0.000000	
663.000000	1.564957	0.000000	
664.000000	1.564904	0.000000	
665.000000	1.564852	0.000000	
666.000000	1.564799	0.000000	
667.000000	1.564747	0.000000	
668.000000	1.564695	0.000000	
669.000000	1.564644	0.000000	
670.000000	1.564592	0.000000	
671.000000	1.564541	0.000000	
672.000000	1.564490	0.000000	
673.000000	1.564439	0.000000	
674.000000	1.564389	0.000000	
675.000000	1.564339	0.000000	
676.000000	1.564289	0.000000	
677.000000	1.564239	0.000000	
678.000000	1.564189	0.000000	
679.000000	1.564140	0.000000	
680.000000	1.564091	0.000000	
681.000000	1.564042	0.000000	
682.000000	1.563993	0.000000	
683.000000	1.563945	0.000000	
684.000000	1.563897	0.000000	
685.000000	1.563849	0.000000	
686.000000	1.563801	0.000000	
687.000000	1.563753	0.000000	
688.000000	1.563706	0.000000	
689.000000	1.563659	0.000000	
690.000000	1.563612	0.000000	
691.000000	1.563565	0.000000	
692.000000	1.563519	0.000000	
693.000000	1.563473	0.000000	
694.000000	1.563427	0.000000	
695.000000	1.563381	0.000000	
696.000000	1.563335	0.000000	
697.000000	1.563290	0.000000	
698.000000	1.563244	0.000000	
699.000000	1.563200	0.000000	
700.000000	1.563155	0.000000	
701.000000	1.563110	0.000000	
702.000000	1.563066	0.000000	
703.000000	1.563021	0.000000	
704.000000	1.562977	0.000000	
705.000000	1.562933	0.000000	
706.000000	1.562890	0.000000	
707.000000	1.562846	0.000000	
708.000000	1.562803	0.000000	
709.000000	1.562760	0.000000	
710.000000	1.562717	0.000000	
711.000000	1.562674	0.000000	
712.000000	1.562632	0.000000	
713.000000	1.562590	0.000000	
714.000000	1.562547	0.000000	
715.000000	1.562505	0.000000	
716.000000	1.562464	0.000000	
717.000000	1.562422	0.000000	
718.000000	1.562381	0.000000	
719.000000	1.562339	0.000000	
720.000000	1.562298	0.000000	
